A,0,0
A,1,1
A,2,2
A,3,3
A,4,4
A,5,5
A,6,6
A,7,7
A,8,8
A,9,9
A,10,10
A,11,11
A,12,12
A,13,13
A,14,14
A,15,15
A,16,16
A,17,17
A,18,18
A,19,19
A,20,20
A,21,21
A,22,22
A,23,23
A,24,24
A,25,25
A,26,26
A,27,27
A,28,28
A,29,29
A,30,30
A,31,31
A,32,32
A,33,33
A,34,34
A,35,35
A,36,36
A,37,37
A,38,38
A,39,39
A,40,40
A,41,41
A,42,42
A,43,43
A,44,44
A,45,45
A,46,46
A,47,47
A,48,48
A,49,49
B,0,50
B,1,51
B,2,52
B,3,53
B,4,54
B,5,55
B,6,56
B,7,57
B,8,58
B,9,59
B,10,60
B,11,61
B,12,62
B,13,63
B,14,64
B,15,65
B,16,66
B,17,67
B,18,68
B,19,69
B,20,70
B,21,71
B,22,72
B,23,73
B,24,74
B,25,75
B,26,76
B,27,77
B,28,78
B,29,79
B,30,80
B,31,81
B,32,82
B,33,83
B,34,84
B,35,85
B,36,86
B,37,87
B,38,88
B,39,89
B,40,90
B,41,91
B,42,92
B,43,93
B,44,94
B,45,95
B,46,96
B,47,97
B,48,98
B,49,99
C,0,100
C,1,101
C,2,102
C,3,103
C,4,104
C,5,105
C,6,106
C,7,107
C,8,108
C,9,109
C,10,110
C,11,111
C,12,112
C,13,113
C,14,114
C,15,115
C,16,116
C,17,117
C,18,118
C,19,119
C,20,120
C,21,121
C,22,122
C,23,123
C,24,124
C,25,125
C,26,126
C,27,127
C,28,128
C,29,129
C,30,130
C,31,131
C,32,132
C,33,133
C,34,134
C,35,135
C,36,136
C,37,137
C,38,138
C,39,139
C,40,140
C,41,141
C,42,142
C,43,143
C,44,144
C,45,145
C,46,146
C,47,147
C,48,148
C,49,149
D,0,150
D,1,151
D,2,152
D,3,153
D,4,154
D,5,155
D,6,156
D,7,157
D,8,158
D,9,159
D,10,160
D,11,161
D,12,162
D,13,163
D,14,164
D,15,165
D,16,166
D,17,167
D,18,168
D,19,169
D,20,170
D,21,171
D,22,172
D,23,173
D,24,174
D,25,175
D,26,176
D,27,177
D,28,178
D,29,179
D,30,180
D,31,181
D,32,182
D,33,183
D,34,184
D,35,185
D,36,186
D,37,187
D,38,188
D,39,189
D,40,190
D,41,191
D,42,192
D,43,193
D,44,194
D,45,195
D,46,196
D,47,197
D,48,198
D,49,199
E,0,200
E,1,201
E,2,202
E,3,203
E,4,204
E,5,205
E,6,206
E,7,207
E,8,208
E,9,209
E,10,210
E,11,211
